Country/Territory,Forecast (IMF),Year (IMF),Estimate (WB),Year (WB),Estimate (UN),Year (UN)
World,115494312.0,2025.0,105435540.0,2023,100834796,2022
United States,30338000.0,2025.0,27360935.0,2023,25744100,2022
China,19535000.0,12025.0,17794782.0,32023,17963170,12022
Germany,4922000.0,2025.0,4456081.0,2023,4076923,2022
Japan,4390000.0,2025.0,4212945.0,2023,4232173,2022
India,4270000.0,2025.0,3549919.0,2023,3465541,2022
United Kingdom,3731000.0,2025.0,3340032.0,2023,3089072,2022
France,3284000.0,2025.0,3030904.0,2023,2775316,2022
Italy,2460000.0,2025.0,2254851.0,2023,2046952,2022
Canada,2331000.0,2025.0,2140086.0,2023,2137939,2022
Brazil,2308000.0,2025.0,2173666.0,2023,1920095,2022
Russia,2197000.0,2025.0,2021421.0,2023,2240422,2022
South Korea,1948000.0,2025.0,1712793.0,2023,1673916,2022
Australia,1882000.0,2025.0,1723827.0,2023,1776577,2022
Spain,1828000.0,2025.0,1580695.0,2023,1415874,2022
Mexico,1818000.0,2025.0,1788887.0,2023,1463323,2022
Indonesia,1493000.0,2025.0,1371171.0,2023,1319100,2022
Turkey,1458000.0,2025.0,1108022.0,2023,907118,2022
Netherlands,1273000.0,2025.0,1118125.0,2023,1008027,2022
Saudi Arabia,1138000.0,2025.0,1067583.0,2023,1108148,2022
Switzerland,1000000.0,2025.0,884940.0,2023,818426,2022
Poland,915451.0,2025.0,811229.0,2023,688125,2022
Taiwan,814438.0,42025.0,nan,-1,-1,-1
Belgium,689364.0,2025.0,632217.0,2023,582643,2022
Sweden,638780.0,2025.0,593268.0,2023,591188,2022
Argentina,604201.0,2025.0,640591.0,2023,631133,2022
Ireland,587225.0,2025.0,545629.0,2023,532415,2022
United Arab Emirates,568567.0,2025.0,504173.0,2023,507063,2022
Singapore,561730.0,2025.0,501428.0,2023,466788,2022
Austria,559218.0,2025.0,516034.0,2023,470302,2022
Israel,550905.0,2025.0,509902.0,2023,525002,2022
Thailand,545341.0,2025.0,514945.0,2023,495340,2022
Philippines,507670.0,2025.0,437146.0,2023,404284,2022
Vietnam,506600.0,2025.0,429717.0,2023,408802,2022
Norway,503470.0,2025.0,485513.0,2023,579422,2022
Malaysia,488700.0,2025.0,399649.0,2023,406305,2022
Iran,478100.0,2025.0,401505.0,2023,398047,2022
Bangladesh,457700.0,2025.0,437415.0,2023,432677,2022
Denmark,432228.0,2025.0,404199.0,2023,400167,2022
Hong Kong,422057.0,52025.0,382055.0,2023,359838,2022
Colombia,419331.0,2025.0,363540.0,2023,343939,2022
South Africa,418046.0,2025.0,377782.0,2023,405270,2022
Romania,406202.0,2025.0,351003.0,2023,300690,2022
Pakistan,393100.0,2025.0,338368.0,2023,326796,2022
Chile,362240.0,2025.0,335533.0,2023,300686,2022
Czech Republic,360233.0,2025.0,330858.0,2023,290527,2022
Egypt,345800.0,2025.0,395926.0,2023,409306,2022
